,,,,,,,,,,,,,,,
?????????????????????????????? ???????????? 2560P,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Country of,Number,,%Change,Country of,Receipts  (Mil.Baht),,%Change,,,,,,,,
Switzerland,"27,924","27,339",+2.14,Switzerland,"2,062.04","1,923.13",+7.22,,,,,,,,
United  Kingdom,"107,892","113,122",-4.62,United  Kingdom,"8,445.04","8,434.65",+0.12,,,,,,,,
East  Europe,"68,077","59,431",+14.55,East  Europe,"4,528.16","3,765.67",+20.25,,,,,,,,
Others,"29,727","27,434",+8.36,Others,"2,221.82","1,953.23",+13.75,,,,,,,,
The  Americas,"173,791","169,225",+2.70,The  Americas,"13,524.47","12,551.09",+7.76,,,,,,,,
Argentina,"4,005","5,527",-27.54,Argentina,305.45,401.54,-23.93,,,,,,,,
Brazil,"10,161","13,570",-25.12,Brazil,830.46,"1,056.50",-21.40,,,,,,,,
Canada,"29,650","27,579",+7.51,Canada,"2,843.10","2,519.14",+12.86,,,,,,,,
USA,"122,103","115,001",+6.18,USA,"8,937.02","8,018.16",+11.46,,,,,,,,
Others,"7,872","7,548",+4.29,Others,608.44,555.75,+9.48,,,,,,,,
South  Asia,"178,965","148,168",+20.79,South  Asia,"8,203.85","6,671.08",+22.98,,,,,,,,
Bangladesh,"14,111","10,597",+33.16,Bangladesh,730.21,538.10,+35.70,,,,,,,,
India,"138,684","113,705",+21.97,India,"6,163.74","4,958.87",+24.30,,,,,,,,
Nepal,"3,604","3,995",-9.79,Nepal,185.40,201.66,-8.06,,,,,,,,
Pakistan,"8,110","7,638",+6.18,Pakistan,423.83,391.68,+8.21,,,,,,,,
Sri  Lanka,"7,064","6,522",+8.31,Sri  Lanka,335.25,303.73,+10.38,,,,,,,,
Others,"7,392","5,711",+29.43,Others,365.42,277.04,+31.90,,,,,,,,
Oceania,"88,094","85,680",+2.82,Oceania,"7,029.39","6,644.60",+5.79,,,,,,,,
Australia,"76,386","74,629",+2.35,Australia,"6,152.78","5,840.80",+5.34,,,,,,,,
New  Zealand,"11,317","10,779",+4.99,New  Zealand,846.72,783.60,+8.06,,,,,,,,
Others,391,272,+43.75,Others,29.89,20.20,+47.97,,,,,,,,
Middle  East,"61,054","62,447",-2.23,Middle  East,"4,972.39","4,878.73",+1.92,,,,,,,,
Egypt,"2,016","2,056",-1.95,Egypt,131.41,130.22,+0.91,,,,,,,,
Israel,"18,483","16,331",+13.18,Israel,"1,715.70","1,472.95",+16.48,,,,,,,,
Kuwait,"4,139","3,993",+3.66,Kuwait,415.46,389.44,+6.68,,,,,,,,
Saudi  Arabia,"1,344","1,677",-19.86,Saudi  Arabia,114.02,138.24,-17.52,,,,,,,,
U.A.E.,"11,015","13,764",-19.97,U.A.E.,756.38,918.35,-17.64,,,,,,,,
Others,"24,057","24,626",-2.31,Others,"1,839.42","1,829.53",+0.54,,,,,,,,
Africa,"27,926","25,088",+11.31,Africa,"1,972.19","1,720.60",+14.62,,,,,,,,
S.Africa,"18,184","15,703",+15.80,S.Africa,"1,293.64","1,085.46",+19.18,,,,,,,,
Others,"9,742","9,385",+3.80,Others,678.55,635.14,+6.83,,,,,,,,
Grand  Total,"3,535,594","3,060,736",+15.51,Grand  Total,"191,844.75","158,505.50",+21.03,,,,,,,,
????????: P ??????? ???????????????,,,,,,,,,,,,,,,
?????: ??????????????????????????????? (? ?????? 11 ?????? 2561P),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
???????????????????????????????????????? ? ????????,,,,,,,,,,,,,,,
 ???????????? 2560P,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Country of,Number,,%Change,Country of,Receipts (Mil.Baht),,%Change,,,,,,,,
Nationality,2017P,2016,2017/16,Nationality,2017P,2016,2017/16,,,,,,,,
Other in Europe,"24,684","23,172",+6.53,Other in Europe,"1,679.58","1,511.46",+11.12,,,,,,,,
