years,gr_EastAsia,re_EastAsia,gr_Europe,re_Europe,gr_TheAmericas,re_TheAmericas,gr_SouthAsia,re_SouthAsia,gr_Oceania,re_Oceania,gr_MiddleEast,re_MiddleEast,gr_Africa,re_Africa
2017,2181686,93183.51,824078,62958.95,173791,13524.47,178965,8203.85,88094,7029.39,61054,4972.39,27926,1972.19
2016,1791135,69383.93,778993,56655.47,169225,12551.09,148168,6671.08,85680,6644.6,62447,4878.73,25088,1720.6
2015,2359924,378354,855380,63242,190130,12443,166711,7009,79450,5966,56216,4674,25977,1612
2014,2445114,375139,845040,58853,205148,12054,166385,8153,94467,6753,58144,4579,29531,1957
2013,2094180,388952,870611,58936,179407,13570,152284,8046,103002,7254,57850,4638,22132,1931
2012,1988703,347105,768194,63141,194804,14571,150077,5710,86814,6379,61184,4978,27794,1710
